country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
URY,1987,-0.005267578676435951,,0.006995883653196575,3
USA,1987,-0.006171349787275404,,0.01968553138249362,3
VEN,1987,-0.006221033197453342,,0.007499469698860905,3
VNM,1987,-0.0061550181042294315,,0.0036017214428466673,3
VUT,1987,-0.006191035318657898,,0.0010043521928356212,3
YEM,1987,-0.006191035318657898,,0.008078793036758328,3
YMD,1987,-0.006182127550696194,,0.008907767961703192,3
ZAF,1987,-0.006191035318657898,,0.007570657474997154,3
ZMB,1987,-0.006191035318657898,,0.007586088246680129,3
ZWE,1987,-0.006200195210769741,,0.004579946055921852,3
ZZB,1987,-0.006193044023043569,,0.0010043521928356212,3
AFG,1988,-0.0059536921814002264,,0.00374557456340091,7
AGO,1988,-0.005957437755963627,,0.0069332451932531645,7
ALB,1988,-0.005957437755963627,,0.0015485979233451955,7
ARE,1988,-0.005935555350124066,,0.00729413527985367,7
ARG,1988,-0.005943452326902305,,0.006992714530661113,7
AUS,1988,-0.005960767424334315,,0.0033296683706874634,7
AUT,1988,-0.005957437755963627,,0.003008384594972574,7
BDI,1988,-0.006081040263541825,,0.0036353678699469843,6
BEL,1988,-0.005957437755963627,,0.008929785833838716,7
BEN,1988,-0.005950941158696423,,0.006496597267204222,7
BFA,1988,-0.0059314513668948105,,0.006496597267204222,7
BGD,1988,-0.005718871768619505,,0.0026507331927124677,7
BGR,1988,-0.005957437755963627,,0.010566088773976759,7
BHR,1988,-0.005957437755963627,,0.00729413527985367,7
BOL,1988,-0.005880517896126355,,0.006992714530661113,7
BRA,1988,-0.005266248053840337,,0.007854428433219198,7
BRB,1988,-0.005964430470494288,,0.006992714530661113,7
BTN,1988,-0.005952402341459785,,0.002517707251921287,7
BWA,1988,-0.005957437755963627,,0.004602600010824293,7
CAF,1988,-0.005695947905157961,,0.004286718865666655,7
CAN,1988,-0.005957437755963627,,0.008621756519016992,7
CHE,1988,-0.005957437755963627,,0.009846298335230602,7
CHL,1988,-0.0059294668978409825,,0.006992714530661113,7
CHN,1988,-0.005919154640050381,,0.019141557956623128,7
CIV,1988,-0.005957437755963627,,0.006771968749243556,7
CMR,1988,-0.005957437755963627,,0.004950642781707933,7
COD,1988,-0.00595102578903904,,0.006411966924586962,7
COG,1988,-0.005957437755963627,,0.004698112454440306,7
COL,1988,-0.005971423185024949,,0.006992714530661113,7
COM,1988,-0.005956134520311709,,0.001303235651918681,7
CPV,1988,-0.005957437755963627,,0.006496597267204222,7
CRI,1988,-0.0059646988529883415,,0.007261097024714291,7
CUB,1988,-0.005957437755963627,,0.0034581001444486947,7
CYP,1988,-0.005957437755963627,,0.008621756519016992,7
CZE,1988,-0.005957437755963627,,0.011314603298308048,7
DDR,1988,-0.005924074418626381,,0.011121112445748937,7
DEU,1988,-0.005952726204010791,,0.004711551952835968,7
DJI,1988,-0.005949142170781855,,0.008295585181772038,7
DNK,1988,-0.005948507970129789,,0.008929785833838716,7
DOM,1988,-0.006041350330331561,,0.006992714530661113,6
DZA,1988,-0.005941877822805535,,0.007779966579045604,7
ECU,1988,-0.005964430470494288,,0.006992714530661113,7
EGY,1988,-0.005953796251468703,,0.0036415044949232966,7
ERI,1988,-0.005959512444312959,,0.0020746883493321386,7
ESP,1988,-0.005947694635366296,,0.00974312059733137,7
ETH,1988,-0.0057975884581314896,,0.005920344364153228,7
FIN,1988,-0.005922950729887559,,0.008621756519016992,7
FJI,1988,-0.006200490986629848,,0.0010043521928356212,6
FRA,1988,-0.005957437755963627,,0.012659550884206784,7
GAB,1988,-0.005953333649752085,,0.004104106211541407,7
GBR,1988,-0.0059478862002079564,,0.009551555755670772,7
GHA,1988,-0.005950275414541986,,0.007162341421641008,7
GIN,1988,-0.005943113073120345,,0.007162341421641008,7
GMB,1988,-0.005902159493883652,,0.006909782759996859,7
GNB,1988,-0.005957437755963627,,0.006496597267204222,7
GNQ,1988,-0.005957437755963627,,0.0024035530607187834,7
GRC,1988,-0.005929628065149236,,0.009269896938130353,7
GTM,1988,-0.0057826198926970995,,0.006992714530661113,7
GUY,1988,-0.005943020309099981,,0.0018021808579557386,7
HKG,1988,-0.005957437755963627,,0.0010043521928356212,7
HND,1988,-0.0059294668978409825,,0.006992714530661113,7
HTI,1988,-0.0054329841661640435,,0.006992714530661113,7
HUN,1988,-0.005896645256796952,,0.01215849983333513,7
