indicator,factor_1,factor_2,factor_3,factor_4
v2exremhsp,0.40956780520146663,0.045736992251404956,-0.012843854780849914,-0.29392387766121547
v2exdfdshs,-0.6451923404763159,-0.03816540942474542,0.013675775441225571,0.06498498456564808
v2exdfcbhs,-0.38570186152207286,-0.36089575116098876,0.08866423588686376,0.34199810343792225
v2exdfvths,-0.5987775963818902,-0.3220021615103078,0.05473304693993403,0.2777753165658635
v2exdfdmhs,-0.4124302545072265,-0.44527104311960397,0.0779813925604103,0.3729060610496963
v2exdfpphs,0.5913334336457351,0.3176386909859158,-0.009286253712516818,-0.44843450095688264
v2exhoshog,-0.10349330939122024,-0.2747163074889483,-0.06799031348036198,0.4136648771411254
v2exagehos,-0.07036651909737761,-0.12680103131255385,0.17363309214137088,-0.3450854415968284
v2ex_elechos,0.15790762560302254,-0.3213005018785893,0.477309113167266,0.39805926769597555
v2exfemhos,0.23918187967602023,0.18972657502076884,-0.06098369490202548,-0.0011643459484535872
v2exfxtmhs,-0.01161343239355235,0.19662253151340003,-0.37145211159929464,-0.14158135079854625
v2expathhs,0.2605867936125469,-0.2585431857682168,0.5218953114847884,0.26656678540073026
v2exdeathos,-0.2743356702279859,-0.006831149390611385,-0.1497712443060367,-0.2053805889891956
v2exdfcbhs_rec,-0.3928717258396681,-0.3762848347103588,0.0999718141888679,0.3248806332057895
v2exfxtmhg,-0.13448886994727383,-0.2788997778423895,-0.11072275918457745,0.4008252010288713
v2ex_hogw,0.3816400545420839,0.40025541424663724,-0.06446834527954663,-0.5031312023107914
v2exrescon,0.7535510406870559,0.4388089174244379,-0.04279349539725069,-0.10906331684852157
v2exbribe,0.4723545955734389,0.7075025881581707,-0.22291393446999558,-0.08488766269475037
v2exembez,0.5568428164831074,0.6806321243732696,-0.20283864263644222,-0.06089803505813352
v2excrptps,0.4531311617392707,0.7144177864689489,-0.25542834986815977,-0.0640292129657178
v2exthftps,0.49717986331206754,0.7167196074626845,-0.2027534656078725,-0.06998459441682409
v2regendtype,0.34310150569325604,0.412429653734263,0.10209212998278544,-0.028463290797076463
v2regint,0.01662378088204563,0.15031823195430816,0.17784119255976516,0.062074785329950366
v2regidnr,-0.02543303491727998,0.27894949415031184,0.11291539415526525,-0.12191940138014937
v2regdur,0.24689490473410447,0.4653682835451892,-0.0024865485482425433,-0.11229988921299143
v2regimpgroup,-0.0420664298523173,0.015595639849189387,-0.15617335539861862,-0.11469712400146201
v2regsupgroupssize,0.5838744491603727,0.4198919888802687,0.17470444336570626,-0.030080960531848756
v2regsuploc,0.19182508419422492,0.23595215078284892,0.15039554454414938,0.03297500887637837
v2regimpoppgroup,-0.11976298806610705,0.24397406337790908,0.0541299299152923,0.02794683564390884
v2regoppgroupssize,-0.24556352854872993,-0.58898717660608,-0.0008114684559126228,-0.029063160565541275
v2regopploc,0.22475780824011032,0.1389213061927593,-0.05283990161436659,-0.060834035177632764
v2regproreg,0.14794208779754323,0.10793676806899816,-0.11331792772676119,-0.1023818235170468
v2regantireg,-0.04718894483509446,0.21872402353530487,0.12701472988790577,0.08607897228606613
v2regpower,-0.03907071574942173,-0.14923405775637627,-0.11268675687918692,-0.08484624858907486
